Business confidence index (BCI),
"Amplitude adjusted, Long-term average = 100",
Category,OECD
10/1/2022 0:00,99.73984
11/1/2022 0:00,99.61797
12/1/2022 0:00,99.57258
1/1/2023 0:00,99.58412
2/1/2023 0:00,99.57362
3/1/2023 0:00,99.53172
4/1/2023 0:00,99.44758
5/1/2023 0:00,99.35094
6/1/2023 0:00,99.28101
7/1/2023 0:00,99.25886
8/1/2023 0:00,99.25918
9/1/2023 0:00,99.26736
10/1/2023 0:00,99.25635
11/1/2023 0:00,99.24686
12/1/2023 0:00,99.29727
1/1/2024 0:00,99.38269
